episode,time,theta1,theta2,omega1,omega2,tau1_dynamics,tau2_dynamics,kinetic_energy,potential_energy
4,0.2600000000000002,-0.023494952209111606,-0.16352801562798194,0.4585147261865619,-1.3477795413852722,0.6406671207932974,0.4517264153954647,1.0133727231533163,0.0
4,0.2620000000000002,-0.022572783653323273,-0.16624608839525695,0.46367531793233224,-1.3703596475388,0.6389542382259836,0.4558844268538784,1.0464401820311569,0.0
4,0.2640000000000002,-0.02164016468063203,-0.16900972108533888,0.4689652953659048,-1.3933400570857253,0.6372882637276761,0.46011743860070076,1.0806624814686412,0.0
4,0.2660000000000002,-0.020696835613652622,-0.17181971784526037,0.47438556056351927,-1.416724301423792,0.635670571413265,0.46442627204935205,1.1160747031579479,0.0
4,0.2680000000000002,-0.019742534995303394,-0.17467688982943952,0.47993699071234713,-1.440515855365728,0.6341026253406905,0.46881173862056924,1.1527127223070395,0.0
4,0.2700000000000002,-0.018776999641215868,-0.17758205507936833,0.48562043546220157,-1.464718129951725,0.6325859831771016,0.47327463872354614,1.1906132037738881,0.0
4,0.2720000000000002,-0.017799964697542373,-0.18053603838864937,0.491436714175602,-1.4893344649847815,0.6311222999522279,0.47781576069904275,1.2298135963156087,0.0
4,0.2740000000000002,-0.01681116370436586,-0.18353967115282455,0.4973866130754313,-1.5143681212873044,0.6297133318952511,0.48243587972498597,1.2703521248189442,0.0
4,0.2760000000000002,-0.01581032866491723,-0.18659379120343755,0.5034708822897247,-1.5398222726782431,0.6283609403507678,0.4871357566852521,1.3122677803747917,0.0
4,0.2780000000000002,-0.01479719012080607,-0.1896992426257714,0.509690232793459,-1.5656999976710173,0.6270670957687374,0.4919161370025553,1.355600308056037,0.0
4,0.2800000000000002,-0.013771477233470667,-0.19285687555970357,0.5160453332475773,-1.5920042708935545,0.6258338817625304,0.49677774943657615,1.4003901922549604,0.0
4,0.2820000000000002,-0.012732917872052238,-0.19606754598312523,0.5225368067358793,-1.6187379542329268,0.6246634992283862,0.5017213048487196,1.4466786394339652,0.0
4,0.2840000000000002,-0.011681238707896661,-0.19933211547737742,0.5291652274008414,-1.6459037877083365,0.6235582705187273,0.5067474949351424,1.4945075581414164,0.0
4,0.2860000000000002,-0.010616165315884418,-0.20265145097416565,0.535931116979895,-1.6735043800775644,0.6225206436608729,0.5118569909299768,1.5439195361430555,0.0
4,0.2880000000000002,-0.009537422282785845,-0.2060264244834263,0.5428349412441995,-1.7015421991834683,0.6215531966117371,0.5170504422809611,1.5949578145188537,0.0
4,0.2900000000000002,-0.008444733322834276,-0.20945791280163267,0.5498771063424822,-1.7300195620486918,0.6206586415381127,0.5223284753000075,1.6476662585753645,0.0
4,0.2920000000000002,-0.007337821400703835,-0.21294679720004664,0.5570579550531001,-1.7589386247284293,0.619839829111088,0.5276916917915573,1.70208932542474,0.0
4,0.2940000000000002,-0.006216408862071812,-0.21649396309244362,0.5643777629480897,-1.7883013719328797,0.6190997528020861,0.5331406676619188,1.758272028083655,0.0
