t,theta1,theta2,omega1,omega2,tau1,tau2,alpha1_pred,alpha2_pred
0.212,-0.06570492232131957,0.4429667070732118,-1.4637101516723636,3.4713481292724624,1.0,0.0,-5.190122127532959,12.265022277832031
0.214,-0.06865310311317442,0.44995846342086804,-1.4740903959274296,3.4958781738281264,1.0,0.0,-5.1500630378723145,12.150260925292969
0.216,-0.07162188415718077,0.4569988208122255,-1.4843905220031743,3.5201786956787124,1.0,0.0,-5.11082649230957,12.035924911499023
0.218,-0.07461110850715635,0.4640873219032289,-1.4946121749877934,3.5442505455017104,1.0,0.0,-5.072465896606445,11.922113418579102
0.22,-0.07762062272071836,0.47122351144790664,-1.5047571067810064,3.5680947723388687,1.0,0.0,-5.034992218017578,11.8089017868042
0.222,-0.08065027690315245,0.4784069365997316,-1.5148270912170416,3.591712575912477,1.0,0.0,-4.998440265655518,11.6963472366333
0.224,-0.08369992484664915,0.4856371471405031,-1.5248239717483527,3.615105270385744,1.0,0.0,-4.962825298309326,11.584558486938477
0.226,-0.08676942409133909,0.4929136959152223,-1.5347496223449715,3.638274387359621,1.0,0.0,-4.928167819976807,11.473527908325195
0.228,-0.08985863600730894,0.5002361388015749,-1.5446059579849252,3.661221443176271,1.0,0.0,-4.89445161819458,11.363322257995605
0.23,-0.09296742572975157,0.5076040349769595,-1.5543948612213143,3.6839480876922623,1.0,0.0,-4.861711502075195,11.254006385803223
0.232,-0.0960956622982025,0.5150169471778873,-1.5641182842254646,3.706456100463869,1.0,0.0,-4.829942226409912,11.145628929138184
0.234,-0.09924321863555907,0.5224744418945315,-1.5737781686782844,3.7287473583221455,1.0,0.0,-4.799130439758301,11.038169860839844
0.23600000000000002,-0.10240997149467468,0.5299760892906191,-1.583376429557801,3.7508236980438254,1.0,0.0,-4.769253253936768,10.931659698486328
0.23800000000000002,-0.10559580136680603,0.5375214633255008,-1.5929149360656745,3.772687017440798,1.0,0.0,-4.740311622619629,10.82614803314209
0.24,-0.10880059248542787,0.545110141952515,-1.6023955593109138,3.7943393135070824,1.0,0.0,-4.712284088134766,10.721611976623535
0.242,-0.11202423274040223,0.5527417070274356,-1.6118201274871833,3.8157825374603296,1.0,0.0,-4.6851325035095215,10.618019104003906
0.244,-0.11526661352539064,0.5604157441787723,-1.6211903924942024,3.8370185756683375,1.0,0.0,-4.658843040466309,10.515421867370605
0.246,-0.11852762968254091,0.5681318430175785,-1.630508078575135,3.8580494194030788,1.0,0.0,-4.633369445800781,10.413753509521484
0.248,-0.12180717931747438,0.5758895968704227,-1.6397748174667364,3.8788769264221217,1.0,0.0,-4.608678817749023,10.312997817993164
0.25,-0.12510516366767885,0.5836886027145389,-1.6489921751022345,3.899502922058108,1.0,0.0,-4.584709167480469,10.21311092376709
0.252,-0.12842148685455324,0.5915284610023502,-1.6581615934371954,3.9199291439056423,1.0,0.0,-4.561429500579834,10.114039421081543
0.254,-0.13175605575942995,0.5994087754478459,-1.667284452438355,3.940157222747805,1.0,0.0,-4.538800239562988,10.015789031982422
0.256,-0.1351087798652649,0.6073291530494694,-1.676362052917481,3.9601888008117703,1.0,0.0,-4.516744613647461,9.918256759643555
0.258,-0.13847957094955446,0.6152892036781316,-1.685395542144776,3.9800253143310576,1.0,0.0,-4.495227813720703,9.82140827178955
0.26,-0.1418683429450989,0.6232885399398809,-1.6943859977722173,3.9996681308746367,1.0,0.0,-4.474181175231934,9.725136756896973
0.262,-0.14527501166534426,0.6313267767486578,-1.7033343601226811,4.019118404388431,1.0,0.0,-4.453534126281738,9.629414558410645
0.264,-0.14869949452209474,0.6394035312156683,-1.7122414283752445,4.038377233505252,1.0,0.0,-4.433241844177246,9.534180641174316
0.266,-0.15214171034622195,0.6475184224052435,-1.721107912063599,4.057445594787601,1.0,0.0,-4.4132184982299805,9.439308166503906
0.268,-0.15560157904434208,0.6556710708274847,-1.729934349060059,4.076324211120609,1.0,0.0,-4.393433094024658,9.344770431518555
0.27,-0.1590790214748383,0.6638610983314519,-1.7387212152481082,4.095013751983646,1.0,0.0,-4.373793125152588,9.250467300415039
0.272,-0.16257395907783512,0.6720881277046209,-1.7474688014984134,4.113514686584476,1.0,0.0,-4.354242324829102,9.156295776367188
