time,theta1,theta2,omega1,omega2,tau1,tau2,bias1,bias2
1.9961731433868408,-0.055299932952201175,0.002595962802563859,0.00028232030051313317,0.03404159452302724,0.12891445,0.18527424,0.5358622979892299,0.12919441557706438
2.0168650150299072,-0.05529103578776888,0.003390395251801264,0.0005353693332935123,0.04560862269400515,0.13038808,0.16898319,0.5338294014910798,0.1272242934897845
2.037938117980957,-0.05527750900563229,0.004382331447209734,0.0007364757736725831,0.05384531622064285,0.13230288,0.15247163,0.5312665550570222,0.12475988531425337
2.0586001873016357,-0.05526052343196668,0.005506744381277099,0.0008789891096414009,0.05888690296919085,0.13475421,0.1366409,0.5283447829181366,0.12196304102683679
2.079664468765259,-0.0552412539634301,0.006702660479895109,0.0009669253291869494,0.061008778340613426,0.13757479,0.1219792,0.5252252211539089,0.11898581790511782
2.1006922721862793,-0.055220734209216416,0.007915180820545167,0.0010086806093803277,0.06054755500278919,0.14060777,0.10886463,0.5220527361935233,0.1159650824569241
2.121779203414917,-0.05519983375436332,0.009096634338733667,0.0010114996009170877,0.05789176372415339,0.14371008,0.09756253,0.5189527941505441,0.11301967779456502
2.1428182125091553,-0.055179294658055565,0.010207422736002305,0.0009805316433801237,0.053461676595646004,0.14675531,0.088229775,0.5160297438087337,0.11024840641779918
2.163546562194824,-0.05515976594307509,0.011216429547948305,0.0009196514897200578,0.04768665975956441,0.14963719,0.08092527,0.5133661673517117,0.1077290839276531
2.184633255004883,-0.05514181786933056,0.012100997493892608,0.0008325316252956927,0.040984915324912906,0.15226,0.07533934,0.5110231021038607,0.1055186123894757
2.2052175998687744,-0.055125882125940315,0.012845759663816384,0.0007280230980988365,0.033671631049989825,0.15457764,0.07173277,0.5090424099174172,0.10365561984274359
2.2262682914733887,-0.055112312238723836,0.013442338728922119,0.0006063326437912424,0.026127956178189547,0.15648162,0.06988676,0.5074479091785337,0.10216160205136021
2.2470874786376953,-0.055101403523153944,0.01388922874746471,0.00047215405768959954,0.018663057030381597,0.15786761,0.069522575,0.5062461597091215,0.10104091571209864
2.267974853515625,-0.05509332773951405,0.014190330384178293,0.00033245368697718176,0.011510936069658534,0.15887573,0.07061084,0.5054292883510888,0.10028437400568936
2.2891077995300293,-0.05508814440899877,0.014354199244272937,0.00019167066863810662,0.0049030996545795374,0.15951887,0.07291184,0.504976899958109,0.09987116874866202
2.3097052574157715,-0.05508580629032671,0.014393434077951819,5.556946191757664e-05,-0.000985880077637535,0.15982309,0.07617322,0.504857708796128,0.09977026845886276
2.3302886486053467,-0.05508614716844283,0.014323577980916553,-7.001277178921608e-05,-0.006034924156946731,0.15983093,0.08015856,0.505032054353593,0.09994314350635881
2.350851535797119,-0.05508889292120445,0.014162142502696111,-0.00018022100891284837,-0.010167658060663201,0.15958601,0.084624186,0.5054543876154513,0.10034618877596965
2.37137770652771,-0.05509368211361872,0.013927719429613248,-0.0002712340549226442,-0.01335201774113521,0.15911978,0.08930445,0.5060756486640922,0.10093294158582165
2.392078399658203,-0.05510008467851347,0.013639054549817576,-0.0003400717340848203,-0.015604308902016842,0.15848103,0.09399673,0.5068457165756948,0.10165639490213632
2.4127302169799805,-0.05510763274999063,0.013314268421746671,-0.00038573597566868897,-0.01697117188561455,0.15771753,0.09852543,0.5077156054455679,0.10247100344905917
2.4333040714263916,-0.05511585706342784,0.012970305860670764,-0.0004088620110723084,-0.017524100199057573,0.15686548,0.10270066,0.5086391849744744,0.10333410570894826
2.4543747901916504,-0.05512430824569837,0.012622376960820926,-0.0004107032976825707,-0.017365364560424406,0.1559794,0.106473394,0.5095747699991826,0.10420733493880728
2.475198268890381,-0.0551325924114168,0.012283715107587665,-0.0003950215007018158,-0.01659188051738578,0.15509963,0.109777324,0.5104860364393953,0.10505733985482153
2.496285915374756,-0.05514039538117113,0.011965569438818964,-0.00036580266274427816,-0.015305875729310232,0.15425724,0.11254949,0.511342320385865,0.10585580827169172
2.5171515941619873,-0.0551474795999375,0.011677077412435373,-0.00032660214121848217,-0.013616764669673702,0.15348217,0.11476187,0.5121188905857029,0.10657978513784064
2.537811517715454,-0.05515367809906367,0.011425196143298592,-0.00028076214095621967,-0.011633773297395804,0.15278572,0.11634732,0.5127970508945229,0.10721183533708563
2.5584876537323,-0.05515887759807438,0.011214573793214482,-0.0002303625494351406,-0.009478615207817863,0.15218604,0.11735951,0.5133643037004751,0.10774029788102704
2.5791804790496826,-0.055163019586024924,0.011047628299519748,-0.00017845281800260042,-0.0072537374084093945,0.15169245,0.1178365,0.5138141340674268,0.10815913972394636
2.6002004146575928,-0.05516610179183625,0.010924837288858047,-0.00012751214636164493,-0.0050511848138493545,0.15130934,0.11783122,0.5141453482941052,0.10846720187123873
2.6207220554351807,-0.05516816640713306,0.01084496605966936,-7.944420428084229e-05,-0.002950513591008578,0.15103656,0.11740769,0.5143613872136236,0.1086676265178721
2.6412436962127686,-0.05516928880319145,0.01080533095267514,-3.5625629520331654e-05,-0.0010173483787623131,0.15086973,0.116637774,0.5144695691502097,0.1087671841808332
2.6619341373443604,-0.05516956767673744,0.010802086703073309,3.007342966252017e-06,0.0006975581974486113,0.15080091,0.11559596,0.5144802881617815,0.1087755458981051
2.6826364994049072,-0.055169116597418535,0.010830521211153805,3.590269921702846e-05,0.0021581382290652333,0.15082005,0.114358075,0.5144062085934158,0.1087045401024935
2.703571319580078,-0.055168057203127806,0.010885346741109976,6.279554442357054e-05,0.0033428100876695794,0.15091473,0.11299672,0.5142614839208538,0.10856742341790802
2.724635601043701,-0.055166513805717916,0.010960977093642126,8.366021563218894e-05,0.004243286243557828,0.15107137,0.11158004,0.5140610247606264,0.10837818821825176
2.745699644088745,-0.05516460915384907,0.011051780434184097,9.864900262582695e-05,0.004863312873781823,0.15127581,0.110168494,0.5138198374327023,0.10815093344998405
2.7667341232299805,-0.0551624609659107,0.011152300143090297,0.00010807255243521973,0.005216741377989594,0.151514,0.10881514,0.5135524490995381,0.10789931492766537
2.787461042404175,-0.05516017924684334,0.011257440243160796,0.00011234964691436728,0.0053258891384639195,0.15177238,0.10756282,0.5132724267684344,0.10763608520577264
2.808098554611206,-0.05515786402815812,0.011362611641535186,0.00011200844074699285,0.005219275151423205,0.15203854,0.10644571,0.5129919973650525,0.10737272937112607
2.82869291305542,-0.05515560364903957,0.011463839250805272,0.00010764138752047367,0.004929941245922285,0.15230134,0.10548773,0.5127217680571103,0.10711919919581167
2.8492798805236816,-0.05515347345011156,0.011557831607885451,9.99033922321116e-05,0.004493392350937558,0.15255141,0.10470349,0.51247054340573,0.10688373902473901
2.8698415756225586,-0.05515153476703683,0.011642012933530245,8.948859917582485e-05,0.003945883375443589,0.1527808,0.104099475,0.5122452368935819,0.10667280516189759
2.890474796295166,-0.05514983454375492,0.01171452443426527,7.709560833118362e-05,0.0033230426309047226,0.15298381,0.103674255,0.5120508638894852,0.10649106206546385
2.9114110469818115,-0.05514840535809892,0.011774198270751175,6.341799631013698e-05,0.0026585197362177667,0.15315616,0.10341988,0.5118906059933576,0.10634144603690306
2.931994915008545,-0.055147265863458,0.011820508203944447,4.911649613951834e-05,0.0019829913681784425,0.15329567,0.103322975,0.511765936127481,0.10622528757461064
2.952554225921631,-0.055146421659529446,0.011853502542783556,3.480309030578359e-05,0.001323385117972487,0.1534012,0.103366084,0.5116767914545919,0.10614247780850165
2.9733028411865234,-0.05514586658867922,0.011873724588680518,2.101688612273729e-05,0.0007023967921475334,0.15347353,0.10352879,0.5116217808584613,0.10609166683123564
2.994255781173706,-0.055145584326616426,0.01188212522818266,8.216776210516426e-06,0.00013819142101066868,0.15351427,0.1037891,0.5115984148006346,0.1060704816893246
3.014806032180786,-0.055145550237692215,0.011879972517903048,-3.2353593770744846e-06,-0.0003556056257383095,0.1535263,0.10412399,0.5116033448616324,0.10607575267317838
3.035445213317871,-0.055145733295219886,0.011868761179789085,-1.306812425313869e-05,-0.0007698996032255525,0.15351295,0.10451085,0.5116326044966972,0.1061037395629867
3.0564866065979004,-0.055146098060785236,0.01185012551519584,-2.1110089481831876e-05,-0.0010998016354912946,0.15347797,0.10492841,0.5116818416086869,0.10615035009447377
3.0770726203918457,-0.0551466067264622,0.011825760021188769,-2.7288224269202388e-05,-0.0013441790443259965,0.15342575,0.10535654,0.5117465331371807,0.10621133938676348
3.097893476486206,-0.05514722084432748,0.01179734737101351,-3.160299479153168e-05,-0.0015053555802433088,0.15336055,0.10577806,0.5118221787330846,0.10628249030904866
3.1189863681793213,-0.0551479029726548,0.011766497072017715,-3.4139011426579314e-05,-0.001588358639968228,0.15328649,0.10617771,0.5119044668505703,0.10635976822816966
3.1400201320648193,-0.055148618024484175,0.011734695000448998,-3.503276813923939e-05,-0.0016005618851335894,0.15320757,0.10654355,0.5119894120707613,0.10643944737047781
3.161059856414795,-0.05514933434254339,0.01170326392357933,-3.44727259255351e-05,-0.001550956014124892,0.15312734,0.10686634,0.5120734621036516,0.10651821050205766
3.181903123855591,-0.05515002452572402,0.011673336173731095,-3.2678666532252434e-05,-0.001449650288328645,0.1530492,0.107139744,0.5121535730780618,0.1065932175697124
3.203001022338867,-0.05515066590578118,0.011645836668705719,-2.988730524378862e-05,-0.0013073356420395398,0.15297562,0.107359655,0.5122272558189346,0.10666214844036044
3.2240264415740967,-0.05515124070198261,0.011621474823575825,-2.633584792244271e-05,-0.0011349275193624465,0.15290886,0.107525565,0.5122925972449452,0.10672322294766676
3.2447028160095215,-0.05515173615695838,0.011600747403781267,-2.227208954008604e-05,-0.000942840197904337,0.15285033,0.10763804,0.5123482544572113,0.10677519453196394
